street,city,zip_code,county,country,latitude,longitude,time_zone
1152 Doyle Expressway,West Estaton,79208,Norfolk,Hungary,-38.69,27.687,Africa/Casablanca
1333 Goyette Circle,West Janetborough,40193,East Riding of Yorkshire,Ethiopia,13.519,21.005,Africa/Casablanca
389 Kihn Expressway,West Dorris,59539,Oxfordshire,Congo,-17.071,-121.015,Africa/Casablanca
794 Benny River,West Simone,33558,Derbyshire,Sri Lanka,-53.576,-72.613,Africa/Casablanca
771 Rosendo Spring,Aliso Viejo,74974,Bristol,Tunisia,-88.848,4.708,Africa/Casablanca
1267 Quitzon Green,Port Adalberto,27069,Worcestershire,Namibia,-44.927,-9.503,Africa/Casablanca
335 Kuphal Mountain,Bahringertown,31728,South Yorkshire,Slovakia (Slovak Republic),2.275,82.53,Africa/Casablanca
263 Hauck Stream,Fort Lauderdale,65329-8108,Tyne and Wear,Ecuador,84.679,163.538,Africa/Casablanca
221 Georgiana Throughway,New Ansley,71623,Isle of Wight,Burundi,53.353,155.234,Africa/Casablanca
262 Wolf Glen,Port Hardymouth,31781-6557,Norfolk,Macao,-43.908,41.537,Africa/Casablanca
593 Beer Plaza,New Garlandfort,67474,Greater London,French Southern Territories,-28.462,-125.827,Africa/Casablanca
1234 Heathcote Cliff,Wehnerfort,98156-3059,Gloucestershire,Nauru,-2.578,68.151,Africa/Casablanca
875 Brisa Hill,North Frankie,37537,Herefordshire,Russian Federation,32.272,-43.601,Africa/Casablanca
1306 Cronin Shoal,New Philip,26682,Derbyshire,Monaco,9.034,-167.631,Africa/Casablanca
726 Benny River,East Vicentaborough,16149-4470,North Yorkshire,Monaco,-38.995,98.036,Africa/Casablanca
654 Wilma Greens,East Vicentaborough,21759,Greater London,Switzerland,-12.244,99.096,Africa/Casablanca
793 Abbott Square,North Antonetta,55695-2768,Kent,Guinea-Bissau,-25.207,137.967,Africa/Casablanca
31 Dave Stravenue,Kissimmee,12782,Warwickshire,France,46.614,-26.635,Africa/Casablanca
1404 Rosendo Spring,Fort Lauderdale,99187,Cambridgeshire,"Virgin Islands, U.S.",-67.25,82.188,Africa/Casablanca
941 Max Wall,Tabithaville,67438,Isle of Wight,Angola,51.734,-36.381,Africa/Casablanca
951 Harmon Lodge,Olympia,50154,Berkshire,French Southern Territories,68.62,-98.706,Africa/Casablanca
1410 Eugenia Heights,Glen Burnie,78412,Lancashire,Comoros,-32.194,42.603,Africa/Casablanca
126 Hilma Mills,North Kaleighshire,81927-5237,Northamptonshire,Hungary,60.668,129.926,Africa/Casablanca
1260 Rosendo Spring,Maxwellport,98218,Wiltshire,Azerbaijan,52.343,35.139,Africa/Casablanca
543 Kihn Expressway,North Sigmund,48056,Herefordshire,Burundi,35.867,6.238,Africa/Casablanca
1464 Hodkiewicz Oval,Kuvalismouth,66666-6682,Dorset,Tunisia,-57.258,-153.455,Africa/Casablanca
1337 Rath Walk,Elisabethland,11623,Gloucestershire,United States of America,68.547,60.418,Africa/Casablanca
375 Jazmyn Isle,Lake Brianne,45848-1480,Somerset,Trinidad and Tobago,-81.108,108.206,Africa/Casablanca
360 Forest Path,North Nona,94944,Cumbria,Faroe Islands,-18.575,18.807,Africa/Casablanca
502 Bechtelar Fields,Lake Zackton,32022,Derbyshire,Paraguay,-54.477,169.402,Africa/Casablanca
453 Rohan Tunnel,Tabithaville,61215,Dorset,Estonia,9.16,-164.488,Africa/Casablanca
470 Stiedemann Field,Farmington,43734-7430,Wiltshire,Russian Federation,87.917,85.785,Africa/Casablanca
779 Curt Locks,New Garlandfort,20225,South Yorkshire,Antigua and Barbuda,53.44,106.036,Africa/Casablanca
1322 Abbott Square,North Braulio,37712-4132,Tyne and Wear,Mauritius,26.78,-127.574,Africa/Casablanca
1006 Forest Path,Erynside,27673,Lancashire,Indonesia,-7.27,39.713,Africa/Casablanca
633 Schimmel Fields,Murray,53511-2393,Rutland,Guinea,-9.798,-133.644,Africa/Casablanca
917 Eugenia Heights,Borerville,26981-3856,Isle of Wight,Costa Rica,-12.951,99.198,Africa/Casablanca
271 Howell Vista,Kettering,31937-6162,Devon,Mongolia,32.406,96.425,Africa/Casablanca
1226 Joshuah Fork,Port Adalberto,95585-7292,Herefordshire,Vanuatu,-77.146,62.722,Africa/Casablanca
1132 Shakira Crossroad,New Kyle,51460,Staffordshire,United Kingdom,7.923,170.529,Africa/Casablanca
26 Cole Center,West Dellside,93808-9315,Northamptonshire,Qatar,42.942,132.685,Africa/Casablanca
413 Jocelyn Throughway,Port Amie,50058,Cambridgeshire,Somalia,5.835,-15.726,Africa/Casablanca
1300 Esteban Inlet,Janefurt,88880,Leicestershire,Afghanistan,0.432,31.137,Africa/Casablanca
250 Dariana Junction,Port Salvador,61451,Oxfordshire,Albania,-86.444,62.722,Africa/Harare
921 Antonietta Highway,South Laila,22672,East Sussex,Mongolia,2.228,-37.185,Africa/Harare
1179 Heathcote Cliff,New Solonmouth,87082-2609,Somerset,Saint Martin,6.964,79.202,Africa/Harare
589 Wilma Greens,Janefurt,32174,Suffolk,British Indian Ocean Territory (Chagos Archipelago),-30.19,-116.327,Africa/Harare
656 Frances Groves,Lake Anthony,90157-6238,Surrey,Lao Peoples Democratic Republic,20.373,-94.571,Africa/Harare
74 Lehner Drive,West Janetborough,81021-3686,Tyne and Wear,Cocos (Keeling) Islands,17.04,-122.456,Africa/Harare
456 Georgiana Throughway,Durwardton,14589-3803,Durham,Slovakia (Slovak Republic),65.276,83.511,Africa/Harare
873 Arturo Manors,East Providence,80209,Suffolk,Liechtenstein,19.403,4.639,Africa/Harare
559 Heathcote Cliff,Opalbury,42058,North Yorkshire,Spain,32.829,39.543,Africa/Harare
791 Beer Plaza,North Celia,70574-4921,Isle of Wight,Nauru,-84.825,162.153,Africa/Harare
219 Bechtelar Fields,Kuvalismouth,99807,East Sussex,Congo,-49.646,-62.033,Africa/Harare
425 Carmelo Plaza,Durwardton,37792,Warwickshire,Lao Peoples Democratic Republic,11.337,28.688,Africa/Harare
835 Collins Lane,North Sigmund,23651-7630,Durham,Christmas Island,-46.94,59.854,Africa/Harare
177 Howell Vista,Padbergmouth,39135,Somerset,Azerbaijan,50.329,-64.943,Africa/Harare
981 Dameon Mountain,Port Asa,30291-1909,South Yorkshire,Burundi,-66.733,-30.316,Africa/Harare
415 Stokes Wells,Willbury,70775-3710,Lincolnshire,Czech Republic,-51.911,163.776,Africa/Harare
1417 Quitzon Green,Janefurt,23200,Tyne and Wear,United States of America,39.262,-109.711,Africa/Harare
262 Wilma Greens,North Celia,49489-1366,Hertfordshire,Greece,69.986,64.124,Africa/Harare
1339 Genesis Plaza,New Montemouth,90257-6663,West Midlands,Isle of Man,70.745,-123.838,Africa/Harare
905 Natalia Points,South Laila,46709-5573,West Midlands,Indonesia,-19.344,23.552,Africa/Harare
1236 Viviane Junctions,Frisco,59266,West Midlands,Ethiopia,14.276,40.434,Africa/Harare
1004 Stiedemann Field,North Sigmund,13752,Oxfordshire,Trinidad and Tobago,40.311,8.884,Africa/Harare
61 Graham Walks,Padbergmouth,46079-4224,Norfolk,Liechtenstein,-83.228,3.471,Africa/Harare
295 Georgiana Throughway,Katrinaside,90904-3449,Gloucestershire,Sri Lanka,-47.723,-31.586,Africa/Harare
298 Moises Causeway,Grand Rapids,74856,East Sussex,Norfolk Island,-82.743,-31.521,Africa/Harare
34 Lehner Drive,Durwardton,74105-3468,Gloucestershire,Christmas Island,-75.553,94.977,Africa/Harare
453 Jade Shore,Reichertland,40118,West Sussex,Brazil,-11.864,-9.691,Africa/Harare
280 Esteban Inlet,Opalbury,67268-7239,Greater London,Mauritius,63.186,-12.455,Africa/Harare
288 Fannie Loaf,Lake Ludie,81044,Berkshire,Burundi,-42.921,14.613,Africa/Harare
471 Glover Lights,Glen Burnie,47552,City of London,Belarus,-31.996,158.422,Africa/Harare
824 Missouri Extension,North Antonetta,93102,Durham,Iran,88.521,-33.172,Africa/Harare
836 Shakira Crossroad,Metairie,20489,Oxfordshire,Sri Lanka,-56.051,-145.817,Africa/Harare
1104 Emard Hill,Aliso Viejo,51873-6834,Greater Manchester,Faroe Islands,44.715,-125.051,Africa/Harare
192 Wilma Greens,Port Ricky,58184,West Sussex,Argentina,51.424,-87.644,Africa/Harare
931 Esteban Inlet,Marionton,48430-1739,Hampshire,Pitcairn Islands,77.365,30.284,Africa/Harare
392 Oswald Junction,South Dagmarshire,79556-2508,Wiltshire,French Southern Territories,48.808,-33.574,Africa/Harare
480 Quitzon Green,New Davonteside,67498,Cornwall,Nigeria,80.997,39.64,Africa/Harare
807 Jazmyn Isle,South Laila,95053,Isle of Wight,Sierra Leone,-55.114,-111.293,Africa/Harare
1057 Cole Center,Lake Cesar,65769,Devon,Nigeria,-15.592,-72.52,Africa/Harare
217 Wilma Greens,East Providence,64200-3100,Hertfordshire,Trinidad and Tobago,84.824,-43.726,Africa/Harare
983 Konopelski Inlet,Lake Adell,15774,Kent,Ethiopia,41.16,-9.924,Africa/Harare
810 Konopelski Inlet,Langborough,67266,Buckinghamshire,Christmas Island,5.718,-150.24,Africa/Harare
636 Carmelo Plaza,Port Asa,48599-2923,Lancashire,Belize,60.984,75.03,Africa/Harare
269 Reynold Crossing,North Winnifred,73025-3542,Staffordshire,Benin,-63.027,-82.527,Africa/Harare
1079 Harmon Lodge,Bahringertown,18441-4204,Staffordshire,Liechtenstein,62.478,98.079,Africa/Harare
59 Emerald Key,Lawrence,79604-2344,Hertfordshire,British Indian Ocean Territory (Chagos Archipelago),55.295,-45.022,Africa/Harare
413 Schumm Land,Katrinaside,45743,Rutland,Belarus,-56.658,151.237,Africa/Harare
343 Dorian Gateway,Port Adalberto,23159,Somerset,Tajikistan,76.86,129.415,Africa/Harare
180 Hauck Stream,South Stacey,81908,Wiltshire,Bahrain,53.347,-19.421,Africa/Harare
1012 Schumm Land,Bellingham,99084,Warwickshire,Senegal,81.962,113.007,Africa/Harare
1179 Stiedemann Field,North Frankie,62564-9417,Wiltshire,Norfolk Island,-28.767,91.807,Africa/Harare
187 Schumm Land,Kissimmee,36766-9250,Cambridgeshire,Montenegro,8.497,54.494,Africa/Harare
1085 Bechtelar Fields,South Verdieton,22716-1858,Tyne and Wear,Christmas Island,84.319,-83.31,Africa/Harare
64 Buckridge Drives,Port Hardymouth,51886,Kent,Gabon,-73.16,137.121,Africa/Harare
1097 Konopelski Inlet,North Braulio,87054,West Sussex,Ethiopia,2.043,-117.768,Africa/Harare
1172 Lockman Greens,East Khalilton,99384,Kent,French Southern Territories,-3.891,64.246,Africa/Harare
1060 Dameon Mountain,Reichertland,20269,Kent,Romania,-22.258,160.831,Africa/Harare
115 Zboncak Center,Fort Lauderdale,90119-2214,Northumberland,Christmas Island,-45.619,-7.017,Africa/Harare
941 Schimmel Fields,Denesikburgh,32919-4079,West Midlands,Isle of Man,57.996,86.215,Africa/Harare
427 Torphy Fords,Jaskolskifort,86595-8656,East Riding of Yorkshire,Congo,-36.497,-99.019,Africa/Harare
397 Doyle Expressway,South Ahmedfort,67190,Buckinghamshire,Senegal,27.498,-53.051,Africa/Harare
1169 Moises Causeway,Port Salvador,90725-5816,Kent,Romania,-5.579,170.41,Africa/Harare
619 Elian Road,New Merle,98000-3232,Rutland,Norfolk Island,20.028,26.928,Africa/Harare
1207 Cade Forks,Padbergmouth,64481,Worcestershire,Tunisia,-50.917,-152.576,Africa/Harare
148 Quigley Parkways,White Plains,27972-5729,Isle of Wight,Somalia,-85.333,-93.087,Africa/Harare
1134 Wolf Glen,Lake Anthony,11445-3152,Cumbria,Lao Peoples Democratic Republic,76.891,146.542,Africa/Harare
248 Rosendo Spring,Durwardton,98254,City of London,Indonesia,-21.128,-85.437,Africa/Harare
1030 Frances Groves,North Winnifred,80709-4614,Herefordshire,Gabon,-44.096,74.712,Africa/Harare
1048 Howell Vista,North Sigmund,54949-7085,Merseyside,Sierra Leone,-15.857,-121.567,Africa/Harare
174 Fisher Light,South Dagmarshire,70921-7531,Shropshire,Antigua and Barbuda,-23.181,-151.389,Africa/Harare
93 Schimmel Fields,Lake Anthony,84278-4229,Cheshire,New Caledonia,-49.242,13.762,Africa/Johannesburg
426 Stiedemann Field,Glen Burnie,81024-2055,Essex,Vanuatu,-16.488,-7.498,Africa/Johannesburg
93 Oswald Junction,New Kyle,71508,North Yorkshire,Liechtenstein,51.042,156.593,Africa/Johannesburg
1350 Emard Hill,New Davonteside,17910,Dorset,Somalia,80.937,102.679,Africa/Johannesburg
1198 Brisa Hill,West Lucy,79482-5718,Cambridgeshire,Azerbaijan,46.216,-66.527,Africa/Johannesburg
736 Doyle Expressway,Rettaland,78455,Essex,Senegal,69.132,-53.124,Africa/Johannesburg
801 Kihn Expressway,Olympia,67111,North Yorkshire,Tunisia,74.203,-142.689,Africa/Johannesburg
1386 Natalia Points,West Amiya,76905-9544,Buckinghamshire,Puerto Rico,5.107,-110.333,Africa/Johannesburg
1468 Carmelo Plaza,Johnnieburgh,61315-6984,Kent,Saint Martin,9.323,-2.675,Africa/Johannesburg
1363 Torphy Fords,Rettaland,62394-6363,Oxfordshire,Ethiopia,-82.954,-45.062,Africa/Johannesburg
1463 Jazmyn Isle,New Philip,11983,Northamptonshire,Belarus,-50.08,52.545,Africa/Johannesburg
970 Dorian Gateway,Murray,45600-8303,Berkshire,Hungary,-24.794,-47.724,Africa/Johannesburg
403 Rohan Tunnel,Tabithaville,64557-7018,Lancashire,United Kingdom,70.59,-143.857,Africa/Johannesburg
541 Glover Lights,West Everardo,68584,Oxfordshire,French Southern Territories,59.505,-33.517,Africa/Johannesburg
1388 Collins Lane,Franeckiview,48838-1334,West Yorkshire,Azerbaijan,-81.456,16.783,Africa/Johannesburg
1475 Howell Vista,New Ansley,33536-9562,Shropshire,Saint Kitts and Nevis,59.854,-83.166,Africa/Johannesburg
1483 Myriam Spur,New Garlandfort,78066-5322,Surrey,Puerto Rico,-50.764,160.43,Africa/Johannesburg
1454 Moises Causeway,Port Adalberto,19132,Oxfordshire,Nauru,22.33,-154.875,Africa/Johannesburg
1026 Dante Summit,West Everardo,44112-5305,Gloucestershire,Saint Barthelemy,-37.652,39.043,Africa/Johannesburg
1366 Fannie Loaf,Port Adalberto,75969-7599,West Sussex,Angola,28.194,-48.027,Africa/Johannesburg
596 Kihn Expressway,Elisabethland,91150,Cheshire,Indonesia,-75.782,60.224,Africa/Johannesburg
970 Zboncak Harbor,Erynside,50818,Greater Manchester,Switzerland,-50.557,-63.043,Africa/Johannesburg
799 Durgan Parkways,Bellingham,77780-9510,Greater London,Ethiopia,53.177,-104.345,Africa/Johannesburg
729 Gutkowski Ferry,Fort Lauderdale,68579,Gloucestershire,Comoros,81.247,130.144,Africa/Johannesburg
246 Dave Stravenue,West Amiya,32296,Devon,Guinea,89.679,-165.466,Africa/Johannesburg
1326 Lehner Drive,Reichertland,20058,Kent,Afghanistan,-70.091,-131.23,Africa/Johannesburg
386 King Springs,North Antonetta,83254,Cambridgeshire,Bolivia,80.325,-169.246,Africa/Johannesburg
727 Emerald Key,South Stacey,98992-8490,Hertfordshire,Mozambique,-26.03,30.435,Africa/Johannesburg
263 Tremblay Springs,Tabithaville,68434-6343,Northamptonshire,Canada,87.391,168.71,Africa/Johannesburg
183 Goyette Circle,West Everardo,14819-8816,Herefordshire,Guinea,-51.789,-158.398,Africa/Johannesburg
230 Natalia Points,New Wallaceberg,75948,Suffolk,Greece,-55.618,-47.274,Africa/Johannesburg
915 Ruecker Fields,New Ansley,69835,Oxfordshire,Sri Lanka,13.516,-165.933,Africa/Johannesburg
1317 Hauck Stream,Jaquelinview,38781-7391,Gloucestershire,Bolivia,4.25,58.642,Africa/Johannesburg
1200 Jade Shore,West Brendonville,93661-2653,Oxfordshire,"Virgin Islands, U.S.",-83.909,32.639,Africa/Johannesburg
1004 Dariana Junction,West Brendonville,81010,Hertfordshire,Central African Republic,-63.85,71.212,Africa/Johannesburg
1085 Laurianne Glens,Kissimmee,86301-4960,Devon,Nigeria,49.742,154.929,Africa/Johannesburg
259 Schimmel Fields,Reichertland,10151,Somerset,Mauritius,-23.74,68.056,Africa/Johannesburg
484 Parker Ways,East Filibertofurt,35647-8287,Oxfordshire,Estonia,71.782,1.968,Africa/Johannesburg
953 Eugenia Heights,New Garlandfort,48567,Wiltshire,Wallis and Futuna,-61.473,-4.632,Africa/Johannesburg
181 Reynold Crossing,West Dellside,15567-1343,Cornwall,Afghanistan,2.171,163.287,Africa/Johannesburg
43 Aracely Row,South Stacey,44189-9608,Somerset,Burkina Faso,47.954,-11.906,Africa/Johannesburg
72 Dave Stravenue,Janefurt,13808,Merseyside,Moldova,-28.484,-77.134,Africa/Johannesburg
1270 Hilma Mills,Port Hardymouth,55544,Tyne and Wear,Ecuador,69.139,-27.572,Africa/Johannesburg
699 Glover Lights,New Solonmouth,99266-7700,Somerset,Pitcairn Islands,12.943,-81.188,Africa/Johannesburg
1323 Graham Walks,Kuvalismouth,91555,Worcestershire,Colombia,12.44,-152.306,Africa/Johannesburg
1063 Howell Vista,Franeckiview,70284,Wiltshire,Faroe Islands,-62.994,-150.537,Africa/Johannesburg
140 Dariana Junction,Lake Adell,58358-5733,Hertfordshire,Cyprus,-20.607,-124.042,Africa/Johannesburg
